campaign,dataset,episode_id,protocol_role,Gate1,Gate2,Gate3,Gate4,evidence_path,full_formal_adaptive_comparison,notes
v0.18,NF-CSE-CIC-IDS2018-v3,DDoS,development,passed,passed,passed,executed,results/frozen/v018_core/runs/E08* through E11*; results/frozen/v018_core/paper_assets_v018/,yes,Development and freeze episode rather than the prospective denominator
v0.18,NF-CSE-CIC-IDS2018-v3,DoS,prospective evaluation,passed,passed,passed,executed,results/frozen/v018_core/runs/E12*; E13*; R18_DoS*; R19*; R20*; results/frozen/v018_core/paper_assets_v018/,yes,Ten static plus eighty adaptive primary runs and eighteen query-seed sensitivity runs
v0.18,NF-CSE-CIC-IDS2018-v3,Web Attacks,prospective evaluation,passed,passed,failed on authoritative seed 11,not executed,results/frozen/v018_core/audits/cse_web_guard_failure_v018.json; results/frozen/v018_core/runs/R18_CSE_Web*,no,Eight of ten secondary model seeds had guard-safe candidates but the frozen authoritative branch failed
v0.18,NF-CSE-CIC-IDS2018-v3,Bot,prospective evaluation,passed,passed,failed for all ten model seeds,not executed,results/frozen/v018_core/audits/cse_bot_guard_failure_v018.json; results/frozen/v018_core/audits/cse_guard_seed_robustness_all10_v018.csv,no,Failure retained
v0.18,NF-CSE-CIC-IDS2018-v3,Infiltration,secondary extension,failed temporal continuity,not reached,not reached,not executed,results/frozen/v018_core/audits/cse_infiltration_construction_failure_v018.json,no,Frozen warm-up crossed an 85.498-hour gap
v0.12-v0.15,NF-UNSW-NB15-v3,supported_6class_capture_session_and_prevalence_shift,historical development before the four-gate protocol,not applicable,not applicable,not applicable,not formal Gate4,results/frozen/v018_core/runs/E02*; results/frozen/v018_core/runs/E05*; results/frozen/v018_core/paired_5seed_v015/,no,Contains static and adaptive development runs but cannot be counted as a four-gate replication
v0.12,NF-UNSW-NB15-v3,supported_6class_temporal_shift,historical temporal pilot before the four-gate protocol,not applicable,not applicable,not applicable,not formal Gate4,results/frozen/v018_core/runs/*temporal_pilot*,no,Historical development only
v0.18,Synthetic,synthetic_novel_classes,engineering smoke test,not applicable,not applicable,not applicable,not formal Gate4,results/frozen/v018_core/runs/E00*,no,Engineering test only
v0.19,NF-UNSW-NB15-v3,DoS,external prespecified construction,failed construction,not reached,not reached,not executed,reproducibility/v019_failed_construction/artifacts/NF-UNSW-NB15-v3-v019-suite-manifest.json,no,All-Benign warm-up rule produced no eligible event
v0.19,NF-UNSW-NB15-v3,Exploits,external prespecified construction,failed construction,not reached,not reached,not executed,reproducibility/v019_failed_construction/artifacts/NF-UNSW-NB15-v3-v019-suite-manifest.json,no,All-Benign warm-up rule produced no eligible event
v0.19,NF-UNSW-NB15-v3,Reconnaissance,external prespecified construction,failed construction,not reached,not reached,not executed,reproducibility/v019_failed_construction/artifacts/NF-UNSW-NB15-v3-v019-suite-manifest.json,no,All-Benign warm-up rule produced no eligible event
v0.20,NF-UNSW-NB15-v3,DoS,amended external construction,failed onset prevalence,not reached,not reached,not executed,reproducibility/v020_diagnostic_excluded/construction_summary.json,no,Retained failed member of the prespecified three-family set
v0.20,NF-UNSW-NB15-v3,Exploits,amended external diagnostic,passed,failed numerical score validity,diagnostic excluded,not executed,reproducibility/v020_diagnostic_excluded/scoring_excluded/runs/*exploits*; reproducibility/v020_diagnostic_excluded/construction_summary.json,no,Target-reference-only scaling was invalid
v0.20,NF-UNSW-NB15-v3,Reconnaissance,amended external diagnostic,passed,failed numerical score validity,diagnostic excluded,not executed,reproducibility/v020_diagnostic_excluded/scoring_excluded/runs/*reconnaissance*; reproducibility/v020_diagnostic_excluded/construction_summary.json,no,Target-reference-only scaling was invalid
v0.21,NF-UNSW-NB15-v3,Exploits,source-anchored external detector evaluation,passed by retained v0.20 event,passed,passed for MAD ADWIN and Page-Hinkley,not executed,results/frozen/v021_external_validation/development/runs/*exploits*; results/frozen/v021_external_validation/evaluation/runs/*exploits*,no,One development seed plus ten primary computational seeds
v0.21,NF-UNSW-NB15-v3,Reconnaissance,source-anchored external detector evaluation,passed by retained v0.20 event,passed,passed for MAD ADWIN and Page-Hinkley,not executed,results/frozen/v021_external_validation/development/runs/*reconnaissance*; results/frozen/v021_external_validation/evaluation/runs/*reconnaissance*,no,One development seed plus ten primary computational seeds
